DATE INITIATED,RAPID RESPONSE IDENTIFIER,AGENCY ASSIGNED,NAME,ADDRESS,CITY,COUNTY,NUMBER OF POSITIVE CASES REPORTED
2/8/2021,RR-00038066,NMED,WALMART SUPERCENTER,604 N 26TH ST,ARTESIA,EDDY,1
2/8/2021,RR-00038064,DOH,ARTESIA GENERAL HOSPITAL,702 N 13TH ST,ARTESIA,EDDY,1
2/8/2021,RR-00038070,NMED,CARL'S JR,800 BROADWAY BLVD NE # B,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038075,ECECD,BRIGHT BEGINNINGS CHILD DEVMNT,2302 COLLINS DR,LAS VEGAS,SAN MIGUEL,1
2/8/2021,RR-00038069,NMED,BEAR RESTORATION,3400 GIRARD BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038068,NMED,DOG HOUSE DRIVE IN,1216 CENTRAL AVE SW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038079,NMED,HAMPTON INN-LAS CRUCES,2350 E GRIGGS AVE,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038080,PED,MAYFIELD HIGH SCHOOL,1955 N VALLEY DR,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038078,ALTSD,SANTA CLARA ASSISTED LIVING,15 FT BAYARD RD,SANTA CLARA,GRANT,4
2/8/2021,RR-00038074,NMED,WALMART DISTRIBUTION CTR,670 LOS MORROS RD NW,LOS LUNAS,VALENCIA,1
2/8/2021,RR-00038077,CYFD,LA CASA INC,800 S WALNUT ST,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038072,ALTSD,RIO AT LAS ESTANCIA,3620 LAS ESTANCIAS DR SW,ALBUQUERQUE,BERNALILLO,2
2/8/2021,RR-00038071,PED,SUNRISE ELEMENTARY SCHOOL,5300 HOLMAN RD,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038073,ECECD,SOUTHWEST CHILD CARE EARLY,4802 WYOMING BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038083,NMED,HOBBY LOBBY,9500 MONTGOMERY BLVD NE # 2,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038084,NMED,NEW MEXICO COMMISSION BLIND,2200 YALE BLVD SE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038081,NMED,JO-JI'S SUSHI & PEPPAN GRILL,1508 N RIVERSIDE DR # B,ESPANOLA,RIO ARRIBA,1
2/8/2021,RR-00038093,DHI,OPTUM,2901 TRANSPORT ST,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038090,PED,MESILLA PARK ELEMENTARY SCHOOL,505 S MAIN ST # 249,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038088,NMED,SIGNART OF NEW MEXICO INC,3804 2ND ST NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038089,NMED,WANZEK CONSTRUCTION,409 ESHLEMAN RD,ENCINO,TORRANCE,1
2/8/2021,RR-00038092,NMED,UNITED RENTALS,2707 CERRILLOS RD,SANTA FE,SANTA FE,1
2/8/2021,RR-00038091,NMED,KFC,1412 W MAIN ST,ARTESIA,EDDY,1
2/8/2021,RR-00038095,PED,NEW MEXICO SCHOOL-THE BLIND,1900 N WHITE SANDS BLVD,ALAMOGORDO,OTERO,1
2/8/2021,RR-00038094,NMED,BED BATH & BEYOND,2200 E LOHMAN AVE # 100,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038085,NMED,SOURCE REALTY,3831 SINGER BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038086,PED,NEW MEXICO INTL SCHOOL,7215 MONTGOMERY BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038087,NMED,T-MOBILE CALL CTR,1201 MENAUL BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038102,NMED,PREMIER DISTRIBUTING CO,4321 YALE BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038118,NMED,OASIS SMOKE SHOP,8215 MENAUL BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038112,NMED,DION'S,121 COORS BLVD NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038106,NMED,SANTA FE GRILL,2001 BATAAN MEMORIAL W,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038104,NMED,PLACITAS COMMUNITY CTR,41 CAMINO DE LAS HUERTAS,PLACITAS,SANDOVAL,1
2/8/2021,RR-00038117,PED,SILVER CONSOLIDATED SCHOOLS,2810 N SWAN ST,SILVER CITY,GRANT,1
2/8/2021,RR-00038105,DOH,MOUNTAIN VIEW REGIONAL MED CTR,4311 E LOHMAN AVE,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038120,NMED,CABALLO SOIL-WATER,3000 HWY 187,SALEM,DONA ANA,1
2/8/2021,RR-00038107,PED,RIO RANCHO ELEMENTARY SCHOOL,4601 PEPE ORTIZ RD SE,RIO RANCHO,SANDOVAL,1
2/8/2021,RR-00038098,NMED,WELLS FARGO BANK,3801 4TH ST NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038114,NMED,SOUTHWEST AIRLINES CALL CTR,3601 SPIRIT DR SE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038111,PED,GATEWAY CHRISTIAN SCHOOL,1900 N SYCAMORE AVE,ROSWELL,CHAVES,1
2/8/2021,RR-00038101,NMED,VERIZON WIRELESS,9935 COORS BYPASS NW # E,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038099,ALTSD,RETIREMENT RANCH,2221 DILLON RD,CLOVIS,CURRY,1
2/8/2021,RR-00038115,DHI,BEN ARCHER HEALTH CTR,2150 HIGHWAY 54 S,ALAMOGORDO,OTERO,1
2/8/2021,RR-00038097,NMED,ARRAY TECHNOLOGIES INC,3901 MIDWAY PL NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038103,NMED,PRINT PPS,9004 WASHINGTON ST NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038100,NMED,NEW MEXICO GAS COMPANY,1300 N GARDEN AVE,ROSWELL,CHAVES,1
2/8/2021,RR-00038113,NMED,MISTER CAR WASH,3625 NM 528 NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038110,NMED,ALASKA STRUCTURES,301 REA BLVD,LAS CRUCES,DONA ANA,2
2/8/2021,RR-00038121,NMED,SOUTHWEST RANGE SVC LLC,PO BOX 99 WSMR,HOLLOMAN AFB,OTERO,1
2/8/2021,RR-00038108,NMED,WHITE SANDS FEDERAL CREDIT UNION,2755 N MAIN ST,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038096,NMED,RIO COMMUNITIES CITY,360 RIO COMMUNITIES BLVD,BELEN,VALENCIA,1
2/8/2021,RR-00038109,NMED,CYRA COM INTL INC,2303 DIVOT AVE # 1,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038119,NMED,MVD EXPRESS,850 SAINT MICHAELS DR,SANTA FE,SANTA FE,1
2/8/2021,RR-00038116,NMED,VELEX INC,1 NW CLAREMONT AVE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00037997,NMED,SONIC DRIVE-IN,930 N VALLEY DR,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00037990,NMED,AIRGAS,2810 INDUSTRIAL RD,SANTA FE,SANTA FE,1
2/8/2021,RR-00037996,NMED,SUNGLASS HUT AT CABELA'S,5151 LANG AVE NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00037991,NMED,PVT NETWORKS INC,4011 W MAIN ST,ARTESIA,EDDY,1
2/8/2021,RR-00037998,PED,STS OF NEW MEXICO,533 N 17TH ST,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00037992,PED,LLANO ELEMENTARY SCHOOL,1000 S 1ST ST,LOVINGTON,LEA,1
2/8/2021,RR-00037993,NMED,RIO RANCHO STREET DEPT,2704 IRIS RD NE,RIO RANCHO,SANDOVAL,1
2/8/2021,RR-00037994,NMED,ARTESIA HIGH SCHOOL,1002 W RICHARDSON AVE,ARTESIA,EDDY,1
2/8/2021,RR-00037988,PED,OCOTILLO ELEMENTARY,2106 CAPTAIN WILLIAMS LN,CARLSBAD,EDDY,1
2/8/2021,RR-00037989,NMED,WALMART SUPERCENTER,301 SAN MATEO BLVD SE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00037995,DHI,MESILLA VALLEY HOSPICE,299 MONTANA AVE,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00037987,NMED,RED RIVER SKI AREA,400 PIONEER RD,RED RIVER,TAOS,4
2/8/2021,RR-00038000,NMED,NM SOLAR GROUP-ALAMOGORDO,1408 BLACK ST,ALAMOGORDO,OTERO,1
2/8/2021,RR-00038001,NMED,SUN COUNTRY INDUSTRIES,7601 LOS VOLCANES RD NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00037999,DOH,CHRISTUS ST VINCENT MED CTR,455 SAINT MICHAELS DR,SANTA FE,SANTA FE,1
2/8/2021,RR-00038002,DHI,CUIDADO CASERO HOME HEALTH,820 ANTHONY DR # A,ANTHONY,DONA ANA,1
2/8/2021,RR-00038003,NMED,SUNGLASS HUT AT CABELA'S,5151 LANG AVE NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038005,NMED,CITY OF ALBUQUERQUE,1 CIVIC PLZ NW # 10,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038006,NMED,BERNALILLO COUNTY METROPOLITAN COURT,401 LOMAS BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038008,NMED,DENNY'S,5201 SAN ANTONIO DR NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038022,NMED,PACIFIC ARCHITECTS & ENGINEERS,2050 WYOMING BLVD SE # B20683 KAFB,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038019,NMED,GOODWILL,1861 HUTTON AVE,FARMINGTON,SAN JUAN,1
2/8/2021,RR-00038024,NMED,MCDADE & WOODCOCK INC,2404 CLAREMONT AVE NE,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038014,NMED,NORTHROP GRUMMAN,2309 RENARD PL #300,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038021,ECECD,FIRST UNITED MTHDST CHR-CLOVIS,1501 SYCAMORE ST,CLOVIS,CURRY,1
2/8/2021,RR-00038015,NMED,CSL PLASMA,6211 4TH ST NW # 15,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038026,PED,PARKVIEW ELEMENTARY,1121 MAPLE ST,CLOVIS,CURRY,1
2/8/2021,RR-00038025,NMED,BETTER BUSINESS BUREAU,7007 JEFFERSON ST NE # A,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038028,PED,LOS ALAMOS PUBLIC SCHOOLS,2075 TRINITY DR,LOS ALAMOS,LOS ALAMOS,1
2/8/2021,RR-00038018,NMED,MESA VERDE ENTERPRISES INC,396 LA LUZ GATE RD,ALAMOGORDO,OTERO,1
2/8/2021,RR-00038013,NMED,BLAKE'S LOTABURGER,1021 E SANTA FE AVE,GRANTS,CIBOLA,1
2/8/2021,RR-00038020,NMED,JO-JI'S SUSHI & PEPPAN GRILL,1508 N RIVERSIDE DR # B,ESPANOLA,RIO ARRIBA,1
2/8/2021,RR-00038011,NMCD,OTERO COUNTY PROCESSING CTR,26 MCGREGOR RANGE RD,CHAPARRAL,DONA ANA,1
2/8/2021,RR-00038023,HED,NEW MEXICO STATE UNIVERSITY,1780 E UNIVERSITY AVE,LAS CRUCES,DONA ANA,1
2/8/2021,RR-00038017,NMED,VIGIL & ASSOC ARCHITECTURAL,4477 IRVING BLVD NW # A,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038007,NMED,PACIFIC ARCHITECTS & ENGINEERS,2050 WYOMING BLVD SE # B20683 KAFB,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038009,DOH,CONCENTRA URGENT CARE,3101 MENAUL BLVD NE # B,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038012,NMED,ALBUQUERQUE PLUMBING HTG-CLNG,4300 2ND ST NW,ALBUQUERQUE,BERNALILLO,1
2/8/2021,RR-00038010,NMED,SNIDER ELECTRIC INC,3220 AXTELL ST,CLOVIS,CURRY,1
2/7/2021,RR-00037905,NMED,SOUTHWEST RETINA CONSLTNTS,3900 E LOHMAN AVE # A,LAS CRUCES,DONA ANA,1
2/7/2021,RR-00037907,NMED,KAUNE'S NEIGHBORHOOD MARKET,511 OLD SANTA FE TRL,SANTA FE,SANTA FE,1
2/7/2021,RR-00037899,NMED,SKECHERS FACTORY OUTLET,9311 COORS BLVD NW # M2,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037909,ALTSD,BY YOUR SIDE HOMECARE LLC,2201 BUENA VISTA DR SE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037908,NMED,NEW MEXICO CREDIT CORP,2270 MAIN ST SW,LOS LUNAS,VALENCIA,1
2/7/2021,RR-00037926,NMED,NINE ENERGY SVC,3424 NW COUNTY RD,HOBBS,LEA,1
2/7/2021,RR-00037912,NMED,SPORT CLIPS,6600 MENAUL BLVD NE # T005,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037910,NMED,NEW MEXICO NATIONAL GUARD MSM,1050 OLD PECOS TRL,SANTA FE,SANTA FE,1
2/7/2021,RR-00037918,IAD,OHKAY CASINO,68 SAN JUAN PEBLO,SANTA FE,SANTA FE,1
2/7/2021,RR-00037900,DHI,GUADALUPE PSYCHIATRIC-MENTAL,1350 JACKIE RD SE # 104,RIO RANCHO,SANDOVAL,1
2/7/2021,RR-00037917,NMED,SOUTHWEST SPRAY FOAM & ROOFING,42 BISBEE CT,SANTA FE,SANTA FE,1
2/7/2021,RR-00037892,NMED,WALMART DISTRIBUTION CTR,670 LOS MORROS RD NW,LOS LUNAS,VALENCIA,1
2/7/2021,RR-00037896,CYFD,SOUTHWEST SNIPERS BASEBALL INC,2425 MONROE ST NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037898,NMED,ED'S REFRIGERATION,2920 GIRARD BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037903,DHI,NEW MEXICO ORTHOPAEDICS,8220 LOUISIANA BLVD NE # D,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037897,CYFD,SOUTHWEST SNIPERS BASEBALL INC,2425 MONROE ST NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037894,NMED,VARA,315 ALAMEDA BLVD NE # B,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037893,NMED,VARA,315 ALAMEDA BLVD NE # B,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037904,NMED,EVERGREEN ELECTRIC CONTRACTORS,700 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037895,NMED,VARA,315 ALAMEDA BLVD NE # B,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037906,NMED,COMPA INDUSTRIES,1350 CENTRAL AVE # 201,LOS ALAMOS,LOS ALAMOS,1
2/7/2021,RR-00037901,NMED,TUSKER INSURANCE AGENCY INC,2400 LOUISIANA BLVD NE # 2,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037890,ECECD,MADDY TAY'S PRESCHOOL,1200 W ALAMEDA,ROSWELL,CHAVES,1
2/7/2021,RR-00037889,DOH,LOS ALAMOS NATIONAL LABORATORY,PO BOX 1663,LOS ALAMOS,LOS ALAMOS,1
2/7/2021,RR-00037902,NMED,ERICKSON METALS-NEW MEXICO INC,150 EARHARDT WAY # 400,SANTA TERESA,DONA ANA,1
2/7/2021,RR-00037891,NMED,SEVENTH JUDICIAL COURT,200 CHURCH ST,SOCORRO,SOCORRO,1
2/7/2021,RR-00037915,NMED,RIGGS & SON CHILI DEHYDRATOR,2 E COTTONWOOD RD,ARTESIA,EDDY,1
2/7/2021,RR-00037921,NMED,CVS PHARMACY,4250 CERRILLOS RD # 1272,SANTA FE,SANTA FE,1
2/7/2021,RR-00037916,NMED,SCARPAS,5500 ACADEMY RD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037936,PED,NORTH ELEMENTARY SCHOOL,1300 N FLORIDA AVE,ALAMOGORDO,OTERO,1
2/7/2021,RR-00037928,NMED,TRINITY CONSTRUCTION,8019 EDITH BLVD NE # 201,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037922,NMED,MAXIMIZE WRAPS,1287 CLARK RD,SANTA FE,SANTA FE,1
2/7/2021,RR-00037919,DOH,ZION WORSHIP CTR,22 CITIES OF GOLD RD,SANTA FE,SANTA FE,1
2/7/2021,RR-00037924,NMED,MATHEWS CUSTOM MEAT PROCESSING,19484 HIGHWAY 314,BELEN,VALENCIA,1
2/7/2021,RR-00037923,NMED,TRAVEL CENTERS OF AMERICA,1700 W US ROUTE 66,MORIARTY,TORRANCE,1
2/7/2021,RR-00037930,NMED,FLORES INC,7120 DERICKSON AVE NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037933,ALTSD,ROBERTA'S PLACE INC,801 E ROOSEVELT AVE,GRANTS,CIBOLA,1
2/7/2021,RR-00037931,NMED,JOEL'S HEAVY DUTY TOWING-RCVRY,175 W KINCAID RANCH RD,ARTESIA,EDDY,1
2/7/2021,RR-00037911,NMED,STANTON OPTICAL,4906 E MAIN ST,FARMINGTON,SAN JUAN,1
2/7/2021,RR-00037934,NMED,SAM'S CLUB,10600 COORS BYPASS NW,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037925,NMED,CAVILL & CO,1155 COMMERCE DR # B,LAS CRUCES,DONA ANA,1
2/7/2021,RR-00037913,NMED,CISNEROS DESIGN INC,2904 RODEO PARK DR E # 200,SANTA FE,SANTA FE,1
2/7/2021,RR-00037929,NMED,ZALES THE DIAMOND STORE,6600 MENAUL BLVD NE # B13,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037927,NMED,CASA DE BENAVIDEZ,8032 4TH ST NW,LOS RANCHOS,BERNALILLO,1
2/7/2021,RR-00037920,PED,MCKINLEY MIDDLE SCH,4500 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037914,NMED,CITY OF RIO RANCHO,1023 29TH ST SE,RIO RANCHO,SANDOVAL,1
2/7/2021,RR-00037944,NMED,SOUTHWEST SOLID WASTE AUTH,PO BOX 2617,SILVER CITY,GRANT,1
2/7/2021,RR-00037942,NMED,JOSEPH SNYDER PC,2832 INDIAN WELLS RD,ALAMOGORDO,OTERO,1
2/7/2021,RR-00037943,NMED,TWISTERS,3240 COORS BLVD NW,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037938,NMED,LOWE'S MARKET,1120 E HISTORIC HIGHWAY 66,GALLUP,MC KINLEY,1
2/7/2021,RR-00037939,NMED,KAUNE'S NEIGHBORHOOD MARKET,511 OLD SANTA FE TRL,SANTA FE,SANTA FE,1
2/7/2021,RR-00037940,NMED,PERFECTLY IMPERFECT,416 QUINCY ST,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037941,NMED,T-MOBILE,5421 JEFFERSON ST NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037935,PED,ALAMOGORDO HIGH SCHOOL,103 CUBA AVE,ALAMOGORDO,OTERO,1
2/7/2021,RR-00037937,NMED,NM WORKFORCE SOLUTIONS,401 BROADWAY BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037932,NMED,NUTRIEN AG SOLUTIONS,223 N AVENUE B,PORTALES,ROOSEVELT,1
2/7/2021,RR-00037957,ALTSD,ALBUQUERQUE HEIGHTS HEALTHCARE,103 HOSPITAL LOOP NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037956,NMED,ENTERPRISE BUILDERS CORP,8516 PASEO ALAMEDA NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037963,DHI,BASIN COORDINATED HEALTH CARE,200 N ORCHARD AVE # A,FARMINGTON,SAN JUAN,1
2/7/2021,RR-00037953,NMED,SMITH'S FOOD & DRUG CTR,8100 WYOMING BLVD NE # A,ALBUQUERQUE,BERNALILLO,2
2/7/2021,RR-00037954,NMED,SAM'S CLUB,10600 COORS BYPASS NW,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037961,NMED,EL PASO ELECTRIC CO,REMOTE WORKSITE SW,,,1
2/7/2021,RR-00037955,NMED,TARGET,8510 MONTGOMERY BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037949,NMED,BIG 5 SPORTING GOODS,3312 N WHITE SANDS BLVD,ALAMOGORDO,OTERO,1
2/7/2021,RR-00037945,NMED,MISTER CAR WASH,3101 COORS BLVD NW,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037946,NMED,PNM RESOURCES,4201 EDITH BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037947,NMED,TUSONIX INC,4800 ALAMEDA BLVD NE,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037948,NMED,STERIGENICS,2400 AIRPORT RD,SANTA TERESA,DONA ANA,1
2/7/2021,RR-00037981,NMED,BLAZE PIZZA,6400 HOLLY AVE NE # F,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037972,NMED,HORIZON ENTERPRISES PLBG & HTG,500 E COAL AVE,GALLUP,MC KINLEY,1
2/7/2021,RR-00037973,HED,THE UNIVERSITY OF NEW MEXICO,1 UNIV OF NEW MEXICO,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037969,NMED,J & H SVC INC,6616 GULTON CT NE # 90,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037984,PED,SILVER CONSOLIDATED SCHOOLS,2810 N SWAN ST,SILVER CITY,GRANT,1
2/7/2021,RR-00037970,NMED,"SCI-ENGR-MGMT SOLUTIONS, LLC",2420 COMANCHE RD NE # G2,ALBUQUERQUE,BERNALILLO,1
2/7/2021,RR-00037985,NMED,WALMART SUPERCENTER,2250 MAIN ST NW,LOS LUNAS,VALENCIA,1
2/7/2021,RR-00037978,NMED,ST VINCENT DE PAUL SOCIETY,916 W CASTILLO AVE,BELEN,VALENCIA,1
2/7/2021,RR-00037971,PED,NEW MEXICO SCHOOL-THE BLIND,1900 N WHITE SANDS BLVD,ALAMOGORDO,OTERO,1
2/7/2021,RR-00037960,NMED,EL PASO ELECTRIC CO,REMOTE WORKSITE SW,,,1
2/7/2021,RR-00037976,NMED,APACA MOVING & STORAGE INC,423 WYOMING BLVD SE,ALBUQUERQUE,BERNALILLO,1
