,Unnamed: 0,best_match_score,__id_left,__id_right,DATE INITIATED,RAPID RESPONSE IDENTIFIER,AGENCY ASSIGNED,NAME,ADDRESS,CITY,COUNTY,NUMBER OF POSITIVE CASES REPORTED,full address state,RID,UPA #,Estab Name,Site Address 1,Site Address 2,Site City,Site State,Site Zip,Site County,Primary/Site NAICS,UPA Receipt Date,Receipt Type,Formality,Insp #,Hazard Desc & Location,# Alleged Hazards/ Emp Exposed,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,full address fed,geocodes_match,state_latlong,fed_latlong,state_place_id,fed_place_id,state_gmaps_query,fed_gmaps_query
10,164142,1.4691182460757213,3257_left,58_right,1/16/2021,RR-00034595,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
11,25907,1.4691182460757213,506_left,58_right,2/4/2021,RR-00037631,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
12,1356754,1.4691182460757213,26803_left,58_right,11/4/2020,RR-8828,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
13,1617559,1.4691182460757213,31955_left,58_right,10/8/2020,RR-2998,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
14,1034407,1.4691182460757213,20526_left,58_right,11/20/2020,RR-00016290,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
15,1235513,1.4691182460757213,24418_left,58_right,11/11/2020,RR-00011408,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
16,1182324,1.4691182460757213,23382_left,58_right,11/14/2020,RR-00012889,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
17,947188,1.4691182460757213,18792_left,58_right,11/24/2020,RR-00017951,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
18,1029213,1.4691182460757213,20423_left,58_right,11/20/2020,RR-00016150,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
19,1553961,1.4691182460757213,30703_left,58_right,10/19/2020,RR-4429,NMED,SYSCO NEW MEXICO LLC,601 COMANCHE RD NE,ALBUQUERQUE,BERNALILLO,1,"601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1667464,"Sysco New Mexico, LLC",601 Comanche Road NE,,ALBUQUERQUE,NM,87107,BERNALILLO,493120 / 493120,10/01/2020,Online,Formal,,"The complainant believes that there have been 4 confirmed cases at the facility, and that everyone is at risk of COVID-19.",/,,,,,,,,,"601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1276312, 'lng': -106.6266896}","{'lat': 35.1276312, 'lng': -106.6266896}",ChIJTz7IJmBzIocR4-Fe10oTUFg,ChIJTz7IJmBzIocR4-Fe10oTUFg,"SYSCO NEW MEXICO LLC 601 COMANCHE RD NE, ALBUQUERQUE, BERNALILLO County, NM","Sysco New Mexico, LLC 601 Comanche Road NE, , ALBUQUERQUE, BERNALILLO County, NM"
20,1697013,1.3821539247698988,33511_left,45_right,7/22/2020,RR-6414,DHI,BEN ARCHER,1600 THORPE RD,LAS CRUCES,DONA ANA,1,"1600 THORPE RD, LAS CRUCES, DONA ANA County, NM",653510,C-1628297,Ben Archer Health Center,1600 Thorpe Rd.,,LAS CRUCES,NM,88012,DONA ANA,621111 / 621111,07/22/2020,Email,Formal,,"We were informed that several employees from our dental staff had tested positive for COVID. On of the dental assistants (who tested positive) had contact with on of our secretaries in our building in social services. All employees who were instructed to get tested, but they are still at work in very close quarters until they get their results. The offices did not close for disinfecting and we are all still exposed to these employees. We're not the first Ben Archer Health Center clinics where this has happened. No policies are in place. I've reached out to the Mayor, State Police and Media only to be ignored.",/,,,,,,,,,"1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM",True,"{'lat': 32.3914256, 'lng': -106.8058419}","{'lat': 32.3914256, 'lng': -106.8058419}",ChIJ_eRZVvc73oYR5cZk2BR7ipE,ChIJ_eRZVvc73oYR5cZk2BR7ipE,"BEN ARCHER 1600 THORPE RD, LAS CRUCES, DONA ANA County, NM","Ben Archer Health Center 1600 Thorpe Rd., , LAS CRUCES, DONA ANA County, NM"
21,1622589,1.3598880939814664,32055_left,59_right,10/6/2020,RR-2818,NMED,WHITE SANDS FEDERAL CU,2190 E LOHMAN AVE,LAS CRUCES,DONA ANA,1,"2190 E LOHMAN AVE, LAS CRUCES, DONA ANA County, NM",653510,C-1671014,White Sands Federal Credit Union,2190 E. Lohman Ave.,,LAS CRUCES,NM,88001,DONA ANA,522130 / 522130,10/08/2020,Email,Formal,,"Following notification of a COVID-19 positive employee on October 1, the location was cleaned and disinfected effectively. Employees were not notified until October 6, and not all employees were informed. Employees were told that were not instructed by HR to be tested, and doing so would be using their own time and unpaid. Employees were told that they would not be paid if they test positive, and that they would have to use their own PTO to be paid. Employees were discouraged by HR staff from asking questions. When employees asked if they should get tested, they were instructed not to. Additionally: the wear of masks is not being enforced effectively, maximum occupancy is not being adhered to, and employees are not always social distancing due to supervisory assistance or training of new employees. Close contacts have not been quarantined due to the assertion that staff are always more than 6ft. apart.",/,,,,,,,,,"2190 E. Lohman Ave., , LAS CRUCES, DONA ANA County, NM",True,"{'lat': 32.3114532, 'lng': -106.7550249}","{'lat': 32.3114532, 'lng': -106.7550249}",ChIJH2fZcGQ93oYR40M2ZEdlzYo,ChIJH2fZcGQ93oYR40M2ZEdlzYo,"WHITE SANDS FEDERAL CU 2190 E LOHMAN AVE, LAS CRUCES, DONA ANA County, NM","White Sands Federal Credit Union 2190 E. Lohman Ave., , LAS CRUCES, DONA ANA County, NM"
22,954135,1.3390173553288591,18935_left,40_right,11/23/2020,RR-00016865,DHI,ADVANCED HEALTH CARE CORP,2701 RICHMOND DR NE,ALBUQUERQUE,BERNALILLO,1,"2701 RICHMOND DR NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1611986,Advanced Health Care of Albuquerque,2701 Richmond Dr. NE,,ALBUQUERQUE,NM,87110,BERNALILLO,623110 / 623110,06/25/2020,Online,Formal,,Employees at nursing home are exposed to COVID-19 because 1) employees have not been fit-tested for N95 respirators and 2) employees have not been trained on the use and care of respirators.,/,,,,,,,,,"2701 Richmond Dr. NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.1118399, 'lng': -106.6112557}","{'lat': 35.1118399, 'lng': -106.6112557}",ChIJZyexsrZ0IocRTInYA27rkf8,ChIJZyexsrZ0IocRTInYA27rkf8,"ADVANCED HEALTH CARE CORP 2701 RICHMOND DR NE, ALBUQUERQUE, BERNALILLO County, NM","Advanced Health Care of Albuquerque 2701 Richmond Dr. NE, , ALBUQUERQUE, BERNALILLO County, NM"
23,560522,1.3303951002922398,11158_left,38_right,12/15/2020,RR-00025725,NMED,DOWNS RACETRACK & CASINO,145 LOUISIANA BLVD NE,ALBUQUERQUE,BERNALILLO,1,"145 LOUISIANA BLVD NE, ALBUQUERQUE, BERNALILLO County, NM",653510,C-1602926,The Downs Racetrack & Casino,145 Louisiana Blvd NE,,ALBUQUERQUE,NM,87108,BERNALILLO,711212 / 711212,06/09/2020,Online,Formal,,Horseman/employees aren't being properly enforced to wear masks and hand-sanitizer stations are empty in the barn area.,/,,,,,,,,,"145 Louisiana Blvd NE, , ALBUQUERQUE, BERNALILLO County, NM",True,"{'lat': 35.07768799999999, 'lng': -106.57014}","{'lat': 35.07768799999999, 'lng': -106.57014}",ChIJs4hFWPsKIocRBFOUg_asEOE,ChIJs4hFWPsKIocRBFOUg_asEOE,"DOWNS RACETRACK & CASINO 145 LOUISIANA BLVD NE, ALBUQUERQUE, BERNALILLO County, NM","The Downs Racetrack & Casino 145 Louisiana Blvd NE, , ALBUQUERQUE, BERNALILLO County, NM"
