"LABOR FORCE DATA SEASONALLY ADJUSTED Table 1. Civilian labor force and unemployment by state and selected area, seasonally adjusted State and area",Civilian labor force,,,,Unemployed,,,,,,,,,
"LABOR FORCE DATA SEASONALLY ADJUSTED Table 1. Civilian labor force and unemployment by state and selected area, seasonally adjusted State and area",Dec. 2019,Oct. 2020,Nov. 2020,Dec. 2020 ( p ),Number,,,,Percent of labor force,,,,,
Iowa,"1,753,614","1,635,549","1,606,744","1,619,594","49,338","59,886","60,750","50,793",2.8,3.7,3.8,3.1,,
Kansas,"1,491,808","1,513,344","1,524,683","1,507,057","46,922","75,757","78,150","57,688",3.1,5,5.1,3.8,,
Kentucky,"2,082,207","1,961,672","2,018,302","2,017,235","90,284","142,560","114,624","120,392",4.3,7.3,5.7,6,,
Louisiana,"2,102,205","2,112,587","2,088,253","2,092,838","108,997","197,580","178,031","151,160",5.2,9.4,8.5,7.2,,
Maine,"693,630","677,722","675,274","673,596","20,638","36,843","33,336","33,223",3,5.4,4.9,4.9,,
Maryland,"3,272,378","3,150,643","3,137,328","3,138,683","112,013","243,371","213,370","198,384",3.4,7.7,6.8,6.3,,
Massachusetts,"3,834,262","3,622,194","3,588,090","3,658,472","106,629","266,979","241,189","271,787",2.8,7.4,6.7,7.4,,
Michigan,"4,941,082","4,893,265","4,942,685","4,802,083","190,994","298,625","344,525","358,564",3.9,6.1,7,7.5,,
Detroit-Warren-Dearborn ( 2 ),"2,164,995","2,125,855","2,212,963","2,155,754","87,389","149,500","206,196","219,920",4,7,9.3,10.2,,
Minnesota,"3,123,024","3,014,207","3,034,877","3,019,389","101,893","137,339","135,426","131,378",3.3,4.6,4.5,4.4,,
Mississippi,"1,280,945","1,290,854","1,275,706","1,269,197","71,184","95,126","80,520","78,408",5.6,7.4,6.3,6.2,,
Missouri,"3,104,134","2,980,442","3,009,078","3,079,610","106,372","135,981","134,436","180,137",3.4,4.6,4.5,5.8,,
Montana,"535,694","536,700","537,037","534,655","18,716","26,656","24,916","23,714",3.5,5,4.6,4.4,,
Nebraska,"1,038,216","1,029,890","1,032,894","1,036,804","31,152","30,721","31,333","31,032",3,3,3,3,,
Nevada,"1,551,408","1,544,795","1,495,601","1,485,568","57,125","184,522","155,191","136,177",3.7,11.9,10.4,9.2,,
New Hampshire,"776,586","728,402","752,376","749,272","19,902","30,402","29,560","29,922",2.6,4.2,3.9,4,,
New Jersey,"4,535,046","4,401,919","4,545,231","4,451,315","167,704","350,494","462,893","339,665",3.7,8,10.2,7.6,,
New Mexico,"959,922","925,827","923,988","929,738","45,728","74,986","66,543","76,451",4.8,8.1,7.2,8.2,,
New York,"9,527,712","9,058,948","9,106,987","9,100,694","371,454","835,625","764,545","744,274",3.9,9.2,8.4,8.2,,
New York City,"4,059,655","3,810,411","3,840,141","3,811,535","148,085","494,329","466,046","432,628",3.6,13,12.1,11.4,,
North Carolina,"5,103,301","4,934,752","4,985,849","5,012,790","186,123","306,255","311,305","310,675",3.6,6.2,6.2,6.2,,
North Dakota,"403,982","400,234","401,856","402,654","9,629","18,859","18,072","16,663",2.4,4.7,4.5,4.1,,
Ohio,"5,811,750","5,835,881","5,736,204","5,683,824","236,888","355,681","327,891","314,989",4.1,6.1,5.7,5.5,,
Cleveland-Elyria ( 2 ),"1,042,525","1,020,468","1,016,550","988,948","41,165","73,099","66,887","67,839",3.9,7.2,6.6,6.9,,
Oklahoma,"1,845,530","1,872,270","1,864,331","1,845,755","61,982","115,176","113,339","97,352",3.4,6.2,6.1,5.3,,
Oregon,"2,103,105","2,138,300","2,121,008","2,129,738","71,362","145,602","127,956","136,560",3.4,6.8,6,6.4,,
Pennsylvania,"6,537,907","6,373,110","6,297,842","6,283,317","303,389","473,377","426,879","419,700",4.6,7.4,6.8,6.7,,
Rhode Island,"556,912","542,290","541,701","542,425","19,330","38,578","39,424","44,002",3.5,7.1,7.3,8.1,,
South Carolina,"2,383,297","2,387,736","2,339,138","2,340,039","57,279","100,544","102,706","107,253",2.4,4.2,4.4,4.6,,
South Dakota,"465,805","462,781","461,278","461,347","15,772","17,023","16,043","13,997",3.4,3.7,3.5,3,,
Tennessee,"3,366,970","3,336,432","3,464,504","3,454,168","111,811","245,083","180,454","220,052",3.3,7.3,5.2,6.4,,
Texas,"14,155,916","14,084,005","14,161,943","14,164,520","495,792","968,165","1,152,457","1,025,378",3.5,6.9,8.1,7.2,,
Utah,"1,622,443","1,643,619","1,647,213","1,655,123","39,623","67,129","70,963","60,069",2.4,4.1,4.3,3.6,,
Vermont,"340,749","321,060","321,984","321,158","8,258","10,221","9,509","10,054",2.4,3.2,3,3.1,,
Virginia,"4,443,312","4,270,335","4,287,884","4,288,955","118,618","220,619","204,949","209,408",2.7,5.2,4.8,4.9,,
Washington,"3,945,375","3,995,300","3,818,391","3,864,699","158,813","237,785","219,189","272,530",4,6,5.7,7.1,,
Seattle-Bellevue-Everett ( 1 ),"1,741,951","1,701,064","1,691,313","1,733,900","46,380","82,377","77,249","122,246",2.7,4.8,4.6,7.1,,
West Virginia,"802,879","764,863","769,637","773,099","40,725","49,156","48,508","48,605",5.1,6.4,6.3,6.3,,
Wisconsin,"3,108,122","3,144,707","3,116,035","3,113,850","107,553","189,488","165,096","171,694",3.5,6,5.3,5.5,,
Wyoming,"292,662","295,492","294,361","294,000","10,805","16,351","15,115","14,104",3.7,5.5,5.1,4.8,,
Puerto Rico,"1,065,881","1,040,026","1,036,506","1,032,785","90,417","85,789","88,383","94,151",8.5,8.2,8.5,9.1,,
Footnotes (1) Metropolitan division. (2) Metropolitan statistical area. (p) Preliminary,,,,,,,,,,,,,,
"NOTE: Data refer to place of residence. Data for Puerto Rico are derived from a monthly household survey similar to the Current Population Survey. Area definitions are based on Office of Management and Budget Bulletin No. 18-03, dated April 10, 2018, and are available on the BLS website at https://www.bls.gov/lau/lausmsa.htm . Estimates for the latest month are subject to revision the following month.",,,,,,,,,,,,,,
